Created Date,Created Time,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Borough
1/11/10,2:20,Noise - Residential,Loud Music/Party,Residential Building/House,10004,21 WEST STREET,WEST STREET,2 PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/12/10,15:58,Noise - Vehicle,Engine Idling,Street/Sidewalk,10007,89 MURRAY STREET,MURRAY STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/13/10,1:12,Noise - Residential,Loud Music/Party,Residential Building/House,10007,80 CHURCH STREET,CHURCH STREET,VESEY STREET,BARCLAY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/13/10,3:00,Noise - Residential,Loud Music/Party,Residential Building/House,10005,95 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/13/10,18:57,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/14/10,2:39,Noise - Residential,Loud Music/Party,Residential Building/House,10013,88 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/15/10,11:49,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,351 BROADWAY,BROADWAY,LEONARD STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/15/10,14:17,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
1/15/10,19:46,Noise - Residential,Loud Music/Party,Residential Building/House,10004,20 EXCHANGE PLACE,EXCHANGE PLACE,HANOVER STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/15/10,20:16,Noise - Commercial,Loud Music/Party,Store/Commercial,10007,WEST STREET,WEST STREET,MURRAY STREET,WARREN STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/15/10,23:20,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
1/16/10,3:12,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,275 CHURCH STREET,CHURCH STREET,AVENUE OF THE AMERICAS,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/16/10,22:42,Noise - Residential,Loud Music/Party,Residential Building/House,10013,40 HARRISON STREET,HARRISON STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/17/10,1:24,Noise - Residential,Loud Music/Party,Residential Building/House,10038,135 WILLIAM STREET,WILLIAM STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/17/10,3:11,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10007,20 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/17/10,4:44,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,275 CHURCH STREET,CHURCH STREET,AVENUE OF THE AMERICAS,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/18/10,1:46,Noise - Residential,Loud Music/Party,Residential Building/House,10005,20 PINE STREET,PINE STREET,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/19/10,0:53,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
1/19/10,1:27,Noise - Residential,Loud Music/Party,Residential Building/House,10038,69 GOLD STREET,GOLD STREET,ANN STREET,BEEKMAN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/19/10,23:48,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
1/20/10,0:08,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/20/10,14:16,Noise - Residential,Loud Music/Party,Residential Building/House,10013,109 READE STREET,READE STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/21/10,19:25,Noise - Residential,Banging/Pounding,Residential Building/House,10013,65 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/23/10,5:18,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,,,,,CHAMBERS STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/24/10,0:30,Noise - Residential,Loud Talking,Residential Building/House,10038,85 JOHN STREET,JOHN STREET,WILLIAM STREET,GOLD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/24/10,7:10,Noise - Residential,Loud Talking,Residential Building/House,10007,295 GREENWICH STREET,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/25/10,1:46,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,6 MURRAY STREET,MURRAY STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/26/10,10:38,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10005,FRONT STREET,FRONT STREET,OLD SLIP,GOUVERNEUR LANE,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/28/10,10:48,Noise - Park,Loud Music/Party,Park/Playground,10007,WEST SIDE HIGHWAY,WEST SIDE HIGHWAY,MURRAY STREET,WARREN STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/28/10,10:57,Noise - Commercial,Loud Music/Party,Store/Commercial,10007,WEST STREET,WEST STREET,MURRAY STREET,WARREN STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/29/10,4:47,Noise - Residential,Loud Music/Party,Residential Building/House,10038,21 MAIDEN LANE,MAIDEN LANE,LIBERTY PLACE,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/29/10,15:31,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/30/10,3:01,Noise - Residential,Loud Music/Party,Residential Building/House,10005,67 WALL STREET,WALL STREET,HANOVER STREET,PEARL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/30/10,4:20,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10007,WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/30/10,23:01,Noise - Residential,Loud Music/Party,Residential Building/House,10013,67 VESTRY STREET,VESTRY STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/30/10,23:47,Noise - Residential,Loud Music/Party,Residential Building/House,10013,67 VESTRY STREET,VESTRY STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/31/10,0:48,Noise - Residential,Loud Music/Party,Residential Building/House,10013,67 VESTRY STREET,VESTRY STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/1/10,23:13,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/4/10,18:43,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,22 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/4/10,23:52,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/10,1:26,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/10,1:49,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/10,20:12,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,22 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/10,20:39,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/10,23:38,Noise - Residential,Loud Music/Party,Residential Building/House,10004,62 PEARL STREET,PEARL STREET,BROAD STREET,COENTIES SLIP,,,ADDRESS,NEW YORK,,MANHATTAN
2/6/10,3:47,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/6/10,22:31,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/6/10,23:01,Noise - Residential,Loud Music/Party,Residential Building/House,10282,2 RIVER TERRACE,RIVER TERRACE,VESEY STREET,MURRAY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/7/10,2:56,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,17 STATE STREET,STATE STREET,UNNAMED STREET,PEARL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/8/10,2:05,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10006,125 BROADWAY,BROADWAY,THAMES STREET,CEDAR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/8/10,3:34,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,8 MURRAY STREET,MURRAY STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/8/10,23:27,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/9/10,3:06,Noise - Residential,Banging/Pounding,Residential Building/House,10013,50 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/9/10,5:01,Noise - Residential,Loud Music/Party,Residential Building/House,10038,36 PECK SLIP,PECK SLIP,FRONT STREET,SOUTH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/9/10,23:36,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/12/10,22:09,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,20 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/12/10,23:27,Noise - Residential,Loud Music/Party,Residential Building/House,10013,40 HARRISON STREET,HARRISON STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/13/10,14:37,Noise - Residential,Loud Music/Party,Residential Building/House,10005,67 WALL STREET,WALL STREET,HANOVER STREET,PEARL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/13/10,23:50,Noise - Residential,Loud Music/Party,Residential Building/House,10013,53 WHITE STREET,WHITE STREET,CHURCH STREET,FRANKLIN PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/10,0:04,Noise - Residential,Loud Music/Party,Residential Building/House,10013,37 VESTRY STREET,VESTRY STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/10,1:08,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/10,4:05,Noise - Residential,Loud Music/Party,Residential Building/House,10006,88 GREENWICH STREET,GREENWICH STREET,EDGAR STREET,RECTOR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/10,4:30,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10007,20 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/10,4:39,Noise - Residential,Loud Music/Party,Residential Building/House,10013,,,,,FRANKLIN STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/15/10,3:58,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10005,,,,,WILLIAM STREET,CEDAR STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/15/10,21:22,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,,,,,FRANKLIN STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
2/16/10,1:09,Noise - Vehicle,Engine Idling,Street/Sidewalk,10006,125 BROADWAY,BROADWAY,THAMES STREET,CEDAR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/18/10,5:20,Noise - Residential,Banging/Pounding,Residential Building/House,10007,295 GREENWICH STREET,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/18/10,6:04,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,GREENWICH STREET,CHAMBERS STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/18/10,6:04,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,GREENWICH STREET,CHAMBERS STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/18/10,23:29,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/19/10,8:59,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,176 BROADWAY,BROADWAY,CORTLANDT STREET,JOHN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/19/10,20:55,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,221 WEST BROADWAY,WEST BROADWAY,FRANKLIN STREET,WHITE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/19/10,21:05,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
2/19/10,21:49,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
2/19/10,23:19,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,325 CHURCH STREET,CHURCH STREET,LISPENARD STREET,CANAL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/20/10,0:26,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,50 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/20/10,3:00,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10007,22 WARREN STREET,WARREN STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/20/10,5:51,Noise - Residential,Banging/Pounding,Residential Building/House,10007,295 GREENWICH STREET,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/21/10,5:06,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10013,98 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/22/10,21:00,Noise - Residential,Loud Music/Party,Residential Building/House,10013,60 BEACH STREET,BEACH STREET,COLLISTER STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/22/10,22:31,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,,,,,BEACH STREET,HUDSON STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/27/10,3:11,Noise - Residential,Loud Music/Party,Residential Building/House,10013,355 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/27/10,23:02,Noise - House of Worship,Loud Music/Party,House of Worship,10013,93 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/10,3:30,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,185 DUANE STREET,DUANE STREET,BEND,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/10,3:38,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/1/10,22:52,Noise - Residential,Loud Talking,Residential Building/House,10013,65 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/2/10,7:05,Noise - Vehicle,Engine Idling,Street/Sidewalk,10038,,,,,BEEKMAN STREET,SOUTH STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/3/10,22:59,Noise - Residential,Loud Music/Party,Residential Building/House,10006,88 GREENWICH STREET,GREENWICH STREET,EDGAR STREET,RECTOR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/10,17:40,Noise - Residential,Loud Music/Party,Residential Building/House,10013,109 READE STREET,READE STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/5/10,2:33,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,15 GOLD STREET,GOLD STREET,LIBERTY STREET,PLATT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/5/10,2:40,Noise - Residential,Banging/Pounding,Residential Building/House,10038,333 PEARL STREET,PEARL STREET,PECK SLIP,FDR DRIVE NORTHBOUND EXIT 2,,,ADDRESS,NEW YORK,,MANHATTAN
3/5/10,18:29,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10013,,,HOLLAND TUNNEL ENTRANCE,BODY OF WATER,,,PLACENAME,NEW YORK,HOLLAND TUNNEL,MANHATTAN
3/5/10,19:53,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10038,121 FULTON STREET,FULTON STREET,DUTCH STREET,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/5/10,21:39,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/5/10,23:20,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/10,1:33,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,185 DUANE STREET,DUANE STREET,BEND,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/10,3:06,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/10,8:09,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,,,BLOCKFACE,NEW YORK,,MANHATTAN
3/6/10,8:11,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,50 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/10,8:45,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,50 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/10,23:34,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,17 MURRAY STREET,MURRAY STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/7/10,1:12,Noise - Residential,Loud Music/Party,Residential Building/House,10013,95 WORTH STREET,WORTH STREET,BROADWAY,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/8/10,6:51,Noise - Residential,Banging/Pounding,Residential Building/House,10013,88 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/8/10,18:57,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,100 WALL STREET,WALL STREET,WATER STREET,FRONT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/11/10,23:40,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,71 NORTH MOORE STREET,NORTH MOORE STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,21:49,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,23:05,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005,55 WALL STREET,WALL STREET,WILLIAM STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,23:05,Noise - Residential,Loud Music/Party,Residential Building/House,10007,311 BROADWAY,BROADWAY,DUANE STREET,THOMAS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,23:07,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005,50 WALL STREET,WALL STREET,WILLIAM STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,23:11,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005,WALL STREET,WALL STREET,WILLIAM STREET,PEARL STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
3/12/10,23:13,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005,55 WALL STREET,WALL STREET,WILLIAM STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/12/10,23:54,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005,,,,,WALL STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/13/10,1:32,Noise - Residential,Loud Music/Party,Residential Building/House,10013,80 NORTH MOORE STREET,NORTH MOORE STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/13/10,1:34,Noise - Residential,Loud Music/Party,Residential Building/House,10013,16 NORTH MOORE STREET,NORTH MOORE STREET,VARICK STREET,HUDSON STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/14/10,4:15,Noise - Residential,Loud Music/Party,Residential Building/House,10007,25 MURRAY STREET,MURRAY STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/15/10,1:18,Noise - Residential,Loud Music/Party,Residential Building/House,10007,105 DUANE STREET,DUANE STREET,BROADWAY,TRIMBLE PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
3/15/10,3:12,Noise - Residential,Banging/Pounding,Residential Building/House,10007,105 DUANE STREET,DUANE STREET,BROADWAY,TRIMBLE PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
3/17/10,0:32,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10013,33 6 AVENUE,6 AVENUE,LISPENARD STREET,YORK STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/17/10,1:21,Noise - Residential,Loud Talking,Residential Building/House,10038,47 ANN STREET,ANN STREET,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/18/10,10:36,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,280 BROADWAY,BROADWAY,CHAMBERS STREET,READE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/18/10,22:25,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,,,,,PINE STREET,WILLIAM STREET,INTERSECTION,NEW YORK,,MANHATTAN
